DATE,FBE,BTCDR,CRYPT,FBEDR,FFL,TBE
9/7/14,1.98,-0.012319625,,0.01010101,-0.015384615,-0.004366812
10/7/14,2,0.024719618,,-0.005,0.00390625,0
11/7/14,1.99,0.003467883,,0,-0.002594034,-0.001461988
12/7/14,1.99,-0.012229653,,0,-0.00260078,-0.001464129
13/7/2014,1.99,-0.010607785,,0,-0.002607562,-0.001466276
14/7/2014,1.99,0.003515225,,-0.015075377,-0.003921569,-0.008810573
15/7/2014,1.96,-0.008230797,,-0.005102041,-0.011811024,-0.008888889
16/7/2014,1.95,0.009811422,,0.01025641,-0.007968127,0
17/7/2014,1.97,0.009993788,,-0.005076142,0.012048193,0.004484305
18/7/2014,1.96,-0.000929733,,0.00170068,-0.001322751,0
19/7/2014,1.963333333,-0.007371609,,0.001697793,-0.001324504,0
20/7/2014,1.966666667,-0.003141056,,0.001694915,-0.00132626,0
21/7/2014,1.97,-0.000998338,,-0.020304569,0.007968127,-0.004464286
22/7/2014,1.93,-0.003340773,,-0.005181347,0.003952569,0
23/7/2014,1.92,-0.029215112,,0.005208333,0.027559055,0.01793722
24/7/2014,1.93,0.000612065,,0.010362694,0,0.004405286
25/7/2014,1.95,-0.009351558,,0,0,0
26/7/2014,1.95,-0.002800406,,0,0,0
27/7/2014,1.95,-0.014396382,,0,0,0
28/7/2014,1.95,-0.001845466,,-0.005128205,-0.003831418,-0.004385965
29/7/2014,1.94,-0.030495366,,0.010309278,0,0.004405286
30/7/2014,1.96,0.034199584,,0.005102041,0.003846154,0.004385965
31/7/2014,1.97,0.014794408,,-0.025380711,0.003831418,-0.008733624
1/8/14,1.92,-0.009238403,,-0.003472222,-0.002544529,-0.002936858
2/8/14,1.913333333,-0.006425047,,-0.00348432,-0.00255102,-0.002945508
3/8/14,1.906666667,0.005278122,,-0.003496504,-0.002557545,-0.00295421
4/8/14,1.9,-0.006030072,,0,-0.007692308,-0.004444444
5/8/14,1.9,-0.000915979,,0,0.007751938,0.004464286
6/8/14,1.9,0.007107059,,-0.005263158,-0.003846154,-0.004444444
7/8/14,1.89,0.006511715,,-0.015873016,0.019305019,0.004464286
8/8/14,1.86,-0.005664685,,0,0,0
9/8/14,1.86,0.002966422,,0,0,0
10/8/14,1.86,-0.024378606,,0,0,0
11/8/14,1.86,-0.012157433,,0.005376344,-0.011363636,-0.004444444
12/8/14,1.87,-0.04127867,,0.005347594,-0.011494253,-0.004464286
13/8/2014,1.88,-0.073443452,,-0.021276596,0,-0.00896861
14/8/2014,1.84,-0.017251875,,-0.005434783,-0.019379845,-0.013574661
15/8/2014,1.83,0.046128166,,0.003642987,-0.002635046,0
16/8/2014,1.836666667,-0.05296031,,0.003629764,-0.002642008,0
17/8/2014,1.843333333,-0.06335142,,0.003616637,-0.002649007,0
18/8/2014,1.85,0.04778035,,-0.021621622,0.007968127,-0.004587156
19/8/2014,1.81,0.061530061,,0.011049724,-0.007905138,0
20/8/2014,1.83,0.007665344,,-0.016393443,0.011952191,0
21/8/2014,1.8,-0.004787751,,-0.005555556,-0.019685039,-0.013824885
22/8/2014,1.79,-0.031590687,,-0.001862197,0.004016064,0.001557632
23/8/2014,1.786666667,0.019357246,,-0.001865672,0.004,0.00155521
24/8/2014,1.783333333,-0.010667905,,-0.001869159,0.003984064,0.001552795
25/8/2014,1.78,0.017945035,,0.028089888,-0.027777778,-0.004651163
26/8/2014,1.83,-0.001454074,,-0.016393443,0.012244898,0
27/8/2014,1.8,-0.006956052,,-0.016666667,0.004032258,-0.004672897
28/8/2014,1.77,0.002373031,,-0.005649718,-0.004016064,-0.004694836
29/8/2014,1.76,-0.008205328,,0,0.006048387,0.003537736
30/8/2014,1.76,-0.053661883,,0,0.006012024,0.003525264
31/8/2014,1.76,-0.00336663,,0,0.005976096,0.003512881
1/9/14,1.76,0.003752168,,0,0.005940594,0.003500583
2/9/14,1.76,7.96E-05,,0.005681818,0.011811024,0.009302326
3/9/14,1.77,0.026311491,,-0.005649718,0.003891051,0
4/9/14,1.76,-0.0142763,,0.005681818,-0.019379845,-0.00921659
5/9/14,1.77,0.003943152,,-0.005649718,-0.001317523,-0.003100775
6/9/14,1.76,-0.004923498,,-0.005681818,-0.001319261,-0.00311042
7/9/14,1.75,-0.016252515,,-0.005714286,-0.001321004,-0.003120125
8/9/14,1.74,0.001503826,,-0.017241379,-0.003968254,-0.009389671
9/9/14,1.71,0.006923195,,-0.011695906,0,-0.004739336
10/9/14,1.69,0.00177529,,0.041420118,-0.011952191,0.00952381
11/9/14,1.76,-0.004278164,,-0.005681818,0.012096774,0.004716981
12/9/14,1.75,0.002692669,,-0.003809524,0.002656043,0
13/9/2014,1.743333333,-0.00236803,,-0.003824091,0.002649006,0
14/9/2014,1.736666667,-0.004837309,,-0.003838772,0.002642008,0
15/9/2014,1.73,-0.019937573,,0.011560694,-0.015810277,-0.004694836
16/9/2014,1.75,-0.018409503,,-0.068571429,0,-0.028301887
17/9/2014,1.63,-0.072471943,,-0.042944785,-0.004016064,-0.019417476
18/9/2014,1.56,-0.069587252,,0,0.008064516,0.004950495
19/9/2014,1.56,0.03762012,,0.008547008,-0.016,-0.006568144
20/9/2014,1.573333333,-0.026645799,,0.008474577,-0.016260163,-0.006611571
21/9/2014,1.586666667,0.008887607,,0.008403361,-0.016528926,-0.006655574
22/9/2014,1.6,0.083975653,,0.01875,0.012605042,0.015075377
23/9/2014,1.63,-0.030202174,,0.018404908,-0.004149378,0.004950495
24/9/2014,1.66,-0.026258589,,-0.024096386,0.008333333,-0.004926108
25/9/2014,1.62,-0.018807704,,-0.018518519,-0.02892562,-0.024752475
26/9/2014,1.59,-0.011746503,,0.004192872,-0.008510638,-0.003384095
27/9/2014,1.596666667,-0.055472752,,0.004175365,-0.008583691,-0.003395585
28/9/2014,1.603333333,-0.003699676,,0.004158004,-0.008658009,-0.003407155
29/9/2014,1.61,0.030537846,,-0.031055901,0.03930131,0.01025641
30/9/2014,1.56,-0.009097555,,0.025641026,-0.025210084,-0.005076142
1/10/14,1.6,-0.022246263,,-0.01875,0.004310345,-0.005102041
2/10/14,1.57,-0.040201983,,-0.006369427,-0.012875536,-0.01025641
3/10/14,1.56,-0.086416187,,-0.002136752,0.001449275,0
4/10/14,1.556666667,-0.021654525,,-0.002141328,0.001447178,0
5/10/14,1.553333333,0.023672188,,-0.002145923,0.001445087,0
6/10/14,1.55,0.022256495,,-0.019354839,0.004329004,-0.005181347
7/10/14,1.52,0.049691433,,0.013157895,0.025862069,0.020833333
8/10/14,1.54,0.031291555,,-0.012987013,0.016806723,0.005102041
9/10/14,1.52,-0.010792571,,0,-0.008264463,-0.005076142
10/10/14,1.52,0.006836284,,-0.018092105,0.003125,-0.005102041
11/10/14,1.4925,0.044430243,,-0.018425461,0.003115265,-0.005128205
12/10/14,1.465,0.029076591,,-0.018771331,0.00310559,-0.005154639
13/10/2014,1.4375,0.028613825,,-0.019130435,0.003095975,-0.005181347
14/10/2014,1.41,-0.016513812,,-0.028368794,-0.032921811,-0.03125
15/10/2014,1.37,-0.030144427,,0,0.025531915,0.016129032
16/10/2014,1.37,0.002525899,,0.04379562,0,0.015873016
17/10/2014,1.43,0.020205784,,0.004662005,-0.005532503,-0.001736111
18/10/2014,1.436666667,-0.002594776,,0.004640371,-0.005563283,-0.001739131
19/10/2014,1.443333333,-0.020640651,,0.004618938,-0.005594405,-0.00174216
20/10/2014,1.45,0.009608371,,-0.020689655,0.004219409,-0.005235602
21/10/2014,1.42,-0.007665336,,0.035211268,-0.012605042,0.005263158
22/10/2014,1.47,-0.062999421,,-0.027210884,0.017021277,0
23/10/2014,1.43,-0.001601435,,0.020979021,-0.020920502,-0.005235602
24/10/2014,1.46,-0.032986683,,-0.00456621,0,-0.001754386
25/10/2014,1.453333333,0.023158605,,-0.004587156,0,-0.00175747
26/10/2014,1.446666667,-0.004237611,,-0.004608295,0,-0.001760563
27/10/2014,1.44,0.011923166,,0.020833333,0.004273504,0.010582011
28/10/2014,1.47,-0.060743336,,0,0.008510638,0.005235602
29/10/2014,1.47,0.027415991,,0.013605442,-0.025316456,-0.010416667
30/10/2014,1.49,-0.01823517,,0.026845638,0,0.010526316
31/10/2014,1.53,-0.040833565,,0.004357299,0,0.001736111
1/11/14,1.536666667,0.003778082,,0.004338394,0,0.001733103
2/11/14,1.543333333,0.004601298,,0.004319655,0,0.001730104
3/11/14,1.55,0.009838318,,-0.038709677,0.017316017,-0.005181347
4/11/14,1.49,0.027122888,,0.033557047,-0.012765957,0.005208333
5/11/14,1.54,0.028861864,,0.025974026,-0.00862069,0.005181347
6/11/14,1.58,-0.020063464,,0.006329114,-0.004347826,0
7/11/14,1.59,0.009349478,,-0.002096436,0.001455604,0
8/11/14,1.586666667,0.050138712,,-0.002100841,0.001453489,0
9/11/14,1.583333333,0.00728624,,-0.002105263,0.001451379,0
10/11/14,1.58,0.005811441,,-0.015822785,-0.002173913,-0.007731959
11/11/14,1.555,0.145759864,,-0.01607717,-0.002178649,-0.007792208
12/11/14,1.53,-0.007183352,,-0.032679739,-0.004366812,-0.015706806
13/11/2014,1.48,-0.049750935,,-0.02027027,0.021929825,0.005319149
14/11/2014,1.45,-0.050594894,,-0.006896552,-0.004291845,-0.005291005
15/11/2014,1.44,0.028804883,,-0.006944444,-0.004310345,-0.005319149
16/11/2014,1.43,-0.001514262,,-0.006993007,-0.004329004,-0.005347594
